Symbol,Date,Close
AMZN,01/07/2005,42.36
AMZN,01/14/2005,44.55
AMZN,01/21/2005,41.24
AMZN,01/28/2005,42.22
AMZN,02/04/2005,35.75
AMZN,02/11/2005,35.79
AMZN,02/18/2005,35.3
AMZN,02/25/2005,34.96
AMZN,03/04/2005,35.85
AMZN,03/11/2005,34.71
AMZN,03/18/2005,34.12
AMZN,03/25/2005,32.87
AMZN,04/01/2005,34.0
AMZN,04/08/2005,34.6
AMZN,04/15/2005,33.03
AMZN,04/22/2005,33.04
AMZN,04/29/2005,32.36
AMZN,05/06/2005,34.52
AMZN,05/13/2005,33.91
AMZN,05/20/2005,35.49
AMZN,05/27/2005,35.5
AMZN,06/03/2005,35.55
AMZN,06/10/2005,34.95
AMZN,06/17/2005,35.29
AMZN,06/24/2005,35.03
AMZN,07/01/2005,32.92
AMZN,07/08/2005,34.74
AMZN,07/15/2005,37.14
AMZN,07/22/2005,37.95
AMZN,07/29/2005,45.16
AMZN,08/05/2005,45.28
AMZN,08/12/2005,44.18
AMZN,08/19/2005,43.72
AMZN,08/26/2005,42.4
AMZN,09/02/2005,41.5
AMZN,09/09/2005,42.96
AMZN,09/16/2005,42.79
AMZN,09/23/2005,42.18
AMZN,09/30/2005,45.38
AMZN,10/07/2005,43.71
AMZN,10/14/2005,43.8
AMZN,10/21/2005,45.94
AMZN,10/28/2005,38.94
AMZN,11/04/2005,41.09
AMZN,11/11/2005,42.71
AMZN,11/18/2005,47.89
AMZN,11/25/2005,48.06
AMZN,12/02/2005,49.05
AMZN,12/09/2005,48.71
AMZN,12/16/2005,49.21
AMZN,12/23/2005,49.22
AMZN,12/30/2005,47.14
AMZN,01/06/2006,47.85
AMZN,01/13/2006,44.38
AMZN,01/20/2006,43.92
AMZN,01/27/2006,45.21
AMZN,02/03/2006,38.33
AMZN,02/10/2006,38.5
AMZN,02/17/2006,39.18
AMZN,02/24/2006,38.29
AMZN,03/03/2006,37.21
AMZN,03/10/2006,36.21
AMZN,03/17/2006,36.0
AMZN,03/24/2006,35.46
AMZN,03/31/2006,36.53
AMZN,04/07/2006,37.05
AMZN,04/14/2006,36.58
AMZN,04/21/2006,36.05
AMZN,04/28/2006,35.24
AMZN,05/05/2006,35.04
AMZN,05/12/2006,32.75
AMZN,05/19/2006,33.94
AMZN,05/26/2006,36.07
AMZN,06/02/2006,34.76
AMZN,06/09/2006,33.76
AMZN,06/16/2006,35.07
AMZN,06/23/2006,36.53
AMZN,06/30/2006,38.69
AMZN,07/07/2006,36.11
AMZN,07/14/2006,32.96
AMZN,07/21/2006,33.2
AMZN,07/28/2006,27.17
AMZN,08/04/2006,27.27
AMZN,08/11/2006,26.08
AMZN,08/18/2006,29.11
AMZN,08/25/2006,28.0
AMZN,09/01/2006,31.79
AMZN,09/08/2006,30.5
AMZN,09/15/2006,32.55
AMZN,09/22/2006,30.84
AMZN,09/29/2006,32.12
AMZN,10/06/2006,32.6
AMZN,10/13/2006,33.31
AMZN,10/20/2006,32.56
AMZN,10/27/2006,38.18
AMZN,11/03/2006,37.5
AMZN,11/10/2006,39.26
AMZN,11/17/2006,42.62
AMZN,11/24/2006,42.41
AMZN,12/01/2006,39.41
AMZN,12/08/2006,38.48
AMZN,12/15/2006,40.03
AMZN,12/22/2006,40.23
AMZN,12/29/2006,39.47
AMZN,01/05/2007,38.37
AMZN,01/12/2007,38.21
AMZN,01/19/2007,36.99
AMZN,01/26/2007,36.82
AMZN,02/02/2007,37.41
AMZN,02/09/2007,38.69
AMZN,02/16/2007,40.33
AMZN,02/23/2007,40.78
AMZN,03/02/2007,37.69
AMZN,03/09/2007,38.85
AMZN,03/16/2007,37.85
AMZN,03/23/2007,38.98
AMZN,03/30/2007,39.78
AMZN,04/06/2007,41.68
AMZN,04/13/2007,42.41
AMZN,04/20/2007,44.97
AMZN,04/27/2007,62.68
AMZN,05/04/2007,63.29
AMZN,05/11/2007,61.53
AMZN,05/18/2007,63.3
AMZN,05/25/2007,68.51
AMZN,06/01/2007,68.63
AMZN,06/08/2007,73.24
AMZN,06/15/2007,72.45
AMZN,06/22/2007,68.98
AMZN,06/29/2007,68.41
AMZN,07/06/2007,68.95
AMZN,07/13/2007,75.1
AMZN,07/20/2007,71.63
AMZN,07/27/2007,84.08
AMZN,08/03/2007,76.71
AMZN,08/10/2007,74.79
AMZN,08/17/2007,75.02
AMZN,08/24/2007,79.28
AMZN,08/31/2007,79.87
AMZN,09/07/2007,84.53
AMZN,09/14/2007,87.69
AMZN,09/21/2007,91.3
AMZN,09/28/2007,93.16
AMZN,10/05/2007,93.4
AMZN,10/12/2007,92.37
AMZN,10/19/2007,89.76
AMZN,10/26/2007,89.98
AMZN,11/02/2007,85.99
AMZN,11/09/2007,78.95
AMZN,11/16/2007,78.62
AMZN,11/23/2007,81.43
AMZN,11/30/2007,90.54
AMZN,12/07/2007,94.28
AMZN,12/14/2007,89.1
AMZN,12/21/2007,91.43
AMZN,12/28/2007,94.38
AMZN,01/04/2008,88.8
AMZN,01/11/2008,81.14
AMZN,01/18/2008,79.71
AMZN,01/25/2008,77.6
AMZN,02/01/2008,74.62
AMZN,02/08/2008,73.56
AMZN,02/15/2008,72.95
AMZN,02/22/2008,72.08
AMZN,02/29/2008,64.51
AMZN,03/07/2008,64.09
AMZN,03/14/2008,68.22
AMZN,03/21/2008,73.22
AMZN,03/28/2008,69.74
AMZN,04/04/2008,76.84
AMZN,04/11/2008,71.99
AMZN,04/18/2008,80.04
AMZN,04/25/2008,80.91
AMZN,05/02/2008,77.3
AMZN,05/09/2008,72.38
AMZN,05/16/2008,76.46
AMZN,05/23/2008,78.35
AMZN,05/30/2008,81.53
AMZN,06/06/2008,80.62
AMZN,06/13/2008,79.13
AMZN,06/20/2008,81.13
AMZN,06/27/2008,74.65
AMZN,07/04/2008,71.99
AMZN,07/11/2008,68.54
AMZN,07/18/2008,69.11
AMZN,07/25/2008,78.27
AMZN,08/01/2008,75.76
AMZN,08/08/2008,80.46
AMZN,08/15/2008,86.4
AMZN,08/22/2008,85.21
AMZN,08/29/2008,80.81
AMZN,09/05/2008,79.19
AMZN,09/12/2008,78.3
AMZN,09/19/2008,81.36
AMZN,09/26/2008,70.74
AMZN,10/03/2008,66.85
AMZN,10/10/2008,56.61
AMZN,10/17/2008,51.24
AMZN,10/24/2008,49.01
AMZN,10/31/2008,57.24
AMZN,11/07/2008,49.21
AMZN,11/14/2008,41.75
AMZN,11/21/2008,37.88
AMZN,11/28/2008,42.7
AMZN,12/05/2008,48.28
AMZN,12/12/2008,51.34
AMZN,12/19/2008,51.3
AMZN,12/26/2008,51.78
AMZN,01/02/2009,54.36
AMZN,01/09/2009,55.5
AMZN,01/16/2009,51.61
AMZN,01/23/2009,50.6
AMZN,01/30/2009,58.82
AMZN,02/06/2009,66.55
AMZN,02/13/2009,63.28
AMZN,02/20/2009,63.85
AMZN,02/27/2009,64.686
AMZN,03/06/2009,61.67
AMZN,03/13/2009,68.49
AMZN,03/20/2009,69.95
AMZN,03/27/2009,70.51
AMZN,04/03/2009,78.19
AMZN,04/10/2009,79.85
AMZN,04/17/2009,78.0
AMZN,04/24/2009,84.44
AMZN,05/01/2009,78.95
AMZN,05/08/2009,77.95
AMZN,05/15/2009,73.42
AMZN,05/22/2009,75.64
AMZN,05/29/2009,77.86
AMZN,06/05/2009,87.57
AMZN,06/12/2009,84.07
AMZN,06/19/2009,82.95
AMZN,06/26/2009,83.72
AMZN,07/03/2009,79.32
AMZN,07/10/2009,77.63
AMZN,07/17/2009,85.84
AMZN,07/24/2009,86.49
AMZN,07/31/2009,85.8
AMZN,08/07/2009,85.33
AMZN,08/14/2009,83.53
AMZN,08/21/2009,84.91
AMZN,08/28/2009,82.75
AMZN,09/04/2009,78.88
AMZN,09/11/2009,84.5
AMZN,09/18/2009,90.42
AMZN,09/25/2009,90.51
AMZN,10/02/2009,89.89
AMZN,10/09/2009,95.7
AMZN,10/16/2009,95.32
AMZN,10/23/2009,118.51
AMZN,10/30/2009,118.78
AMZN,11/06/2009,126.305
AMZN,11/13/2009,132.96
AMZN,11/20/2009,129.66
AMZN,11/27/2009,131.742
AMZN,12/04/2009,137.55
AMZN,12/11/2009,134.15
AMZN,12/18/2009,128.23
AMZN,12/25/2009,138.47
AMZN,01/01/2010,134.52
AMZN,01/08/2010,133.54
AMZN,01/15/2010,127.14
AMZN,01/22/2010,121.43
AMZN,01/29/2010,125.26
AMZN,02/05/2010,117.39
AMZN,02/12/2010,119.67
AMZN,02/19/2010,117.5
AMZN,02/26/2010,118.31
AMZN,03/05/2010,128.85
AMZN,03/12/2010,131.8
AMZN,03/19/2010,130.49
AMZN,03/26/2010,135.03
AMZN,04/02/2010,131.79
AMZN,04/09/2010,140.05
AMZN,04/16/2010,142.24
AMZN,04/23/2010,143.63
AMZN,04/30/2010,137.26
AMZN,05/07/2010,125.12
AMZN,05/14/2010,128.58
AMZN,05/21/2010,122.67
AMZN,05/28/2010,125.29
AMZN,06/04/2010,122.72
AMZN,06/11/2010,123.03
AMZN,06/18/2010,125.89
AMZN,06/25/2010,121.13
AMZN,07/02/2010,109.13
AMZN,07/09/2010,117.26
AMZN,07/16/2010,118.42
AMZN,07/23/2010,118.88
AMZN,07/30/2010,117.89
AMZN,08/06/2010,128.29
AMZN,08/13/2010,124.69
AMZN,08/20/2010,127.76
AMZN,08/27/2010,126.64
AMZN,09/03/2010,138.8
AMZN,09/10/2010,142.44
AMZN,09/17/2010,148.35
AMZN,09/24/2010,160.81
AMZN,10/01/2010,153.71
AMZN,10/08/2010,155.52
AMZN,10/15/2010,164.71
AMZN,10/22/2010,169.14
AMZN,10/29/2010,165.15
AMZN,11/05/2010,170.36
AMZN,11/12/2010,165.69
AMZN,11/19/2010,164.72
AMZN,11/26/2010,176.888
AMZN,12/03/2010,175.61
AMZN,12/10/2010,175.61
AMZN,12/17/2010,177.48
AMZN,12/24/2010,182.61
AMZN,12/31/2010,179.92
AMZN,01/07/2011,185.5
AMZN,01/14/2011,188.75
AMZN,01/21/2011,177.4
AMZN,01/28/2011,171.13
AMZN,02/04/2011,175.88
AMZN,02/11/2011,189.25
AMZN,02/18/2011,186.63
AMZN,02/25/2011,177.24
AMZN,03/04/2011,171.61
AMZN,03/11/2011,168.08
AMZN,03/18/2011,161.8
AMZN,03/25/2011,170.99
AMZN,04/01/2011,180.12
AMZN,04/08/2011,184.71
AMZN,04/15/2011,180.0
AMZN,04/22/2011,185.96
AMZN,04/29/2011,196.41
AMZN,05/06/2011,197.52
AMZN,05/13/2011,202.55
AMZN,05/20/2011,198.58
AMZN,05/27/2011,194.14
AMZN,06/03/2011,188.27
AMZN,06/10/2011,186.52
AMZN,06/17/2011,186.44
AMZN,06/24/2011,192.55
AMZN,07/01/2011,209.49
AMZN,07/08/2011,218.3
AMZN,07/15/2011,212.95
AMZN,07/22/2011,216.42
AMZN,07/29/2011,222.67
AMZN,08/05/2011,202.56
AMZN,08/12/2011,202.29
AMZN,08/19/2011,179.0
AMZN,08/26/2011,199.34
AMZN,09/02/2011,210.0
AMZN,09/09/2011,211.53
AMZN,09/16/2011,239.51
AMZN,09/23/2011,223.51
AMZN,09/30/2011,216.14
AMZN,10/07/2011,224.79
AMZN,10/14/2011,246.6
AMZN,10/21/2011,234.9
AMZN,10/28/2011,217.32
AMZN,11/04/2011,216.48
AMZN,11/11/2011,217.32
AMZN,11/18/2011,197.15
AMZN,11/25/2011,182.6
AMZN,12/02/2011,196.01
AMZN,12/09/2011,193.12
AMZN,12/16/2011,181.26
AMZN,12/23/2011,177.28
AMZN,12/30/2011,173.15
AMZN,01/06/2012,182.67
AMZN,01/13/2012,178.51
AMZN,01/20/2012,190.93
AMZN,01/27/2012,195.37
AMZN,02/03/2012,187.68
AMZN,02/10/2012,185.63
AMZN,02/17/2012,182.5
AMZN,02/24/2012,179.14
AMZN,03/02/2012,179.3
AMZN,03/09/2012,184.29
AMZN,03/16/2012,185.05
AMZN,03/23/2012,195.05
AMZN,03/30/2012,202.65
AMZN,04/06/2012,194.4
AMZN,04/13/2012,188.34
AMZN,04/20/2012,189.99
AMZN,04/27/2012,226.85
AMZN,05/04/2012,223.91
AMZN,05/11/2012,227.67
AMZN,05/18/2012,213.78
AMZN,05/25/2012,212.89
AMZN,06/01/2012,208.23
AMZN,06/08/2012,218.42
AMZN,06/15/2012,218.35
AMZN,06/22/2012,222.13
AMZN,06/29/2012,228.35
AMZN,07/06/2012,225.05
AMZN,07/13/2012,218.39
AMZN,07/20/2012,228.33
AMZN,07/27/2012,237.42
AMZN,08/03/2012,234.97
AMZN,08/10/2012,232.73
AMZN,08/17/2012,241.11
AMZN,08/24/2012,245.67
AMZN,08/31/2012,248.26
AMZN,09/07/2012,259.12
AMZN,09/14/2012,261.27
AMZN,09/21/2012,257.51
AMZN,09/28/2012,254.32
AMZN,10/05/2012,258.4
AMZN,10/12/2012,242.28
AMZN,10/19/2012,239.88
AMZN,10/26/2012,238.2
AMZN,11/02/2012,232.11
AMZN,11/09/2012,226.21
AMZN,11/16/2012,225.24
AMZN,11/23/2012,239.88
AMZN,11/30/2012,251.9904
AMZN,12/07/2012,253.18
AMZN,12/14/2012,249.2
AMZN,12/21/2012,256.93
AMZN,12/28/2012,245.21
AMZN,01/04/2013,259.13
AMZN,01/11/2013,267.93
AMZN,01/18/2013,272.12
AMZN,01/25/2013,284.0
AMZN,02/01/2013,264.885
AMZN,02/08/2013,262.0
AMZN,02/15/2013,265.13
AMZN,02/22/2013,265.43
AMZN,03/01/2013,265.87
AMZN,03/08/2013,274.04
AMZN,03/15/2013,261.93
AMZN,03/22/2013,257.7414
AMZN,03/29/2013,266.42
AMZN,04/05/2013,255.41
AMZN,04/12/2013,272.88
AMZN,04/19/2013,260.32
AMZN,04/26/2013,254.81
AMZN,05/03/2013,258.01
AMZN,05/10/2013,263.51
AMZN,05/17/2013,269.61
AMZN,05/24/2013,261.81
AMZN,05/31/2013,269.03
AMZN,06/07/2013,276.85
AMZN,06/14/2013,273.95
AMZN,06/21/2013,273.32
AMZN,06/28/2013,277.7
AMZN,07/05/2013,285.88
AMZN,07/12/2013,307.53
AMZN,07/19/2013,305.23
AMZN,07/26/2013,312.1
AMZN,08/02/2013,304.21
AMZN,08/09/2013,297.36
AMZN,08/16/2013,284.51
AMZN,08/23/2013,290.01
AMZN,08/30/2013,280.99
AMZN,09/06/2013,295.92
AMZN,09/13/2013,297.85
AMZN,09/20/2013,316.37
AMZN,09/27/2013,315.87
AMZN,10/04/2013,318.83
AMZN,10/11/2013,310.89
AMZN,10/18/2013,329.0
AMZN,10/25/2013,363.674
AMZN,11/01/2013,358.9
AMZN,11/08/2013,350.31
AMZN,11/15/2013,369.2
AMZN,11/22/2013,372.21
AMZN,11/29/2013,393.62
AMZN,12/06/2013,386.68
AMZN,12/13/2013,384.25
AMZN,12/20/2013,402.7
AMZN,12/27/2013,398.08
AMZN,01/03/2014,396.36
AMZN,01/10/2014,397.54
AMZN,01/17/2014,399.55
AMZN,01/24/2014,387.27
AMZN,01/31/2014,358.57
AMZN,02/07/2014,361.0
AMZN,02/14/2014,357.0
AMZN,02/21/2014,346.97
AMZN,02/28/2014,362.1
AMZN,03/07/2014,372.06
AMZN,03/14/2014,373.75
AMZN,03/21/2014,360.58
AMZN,03/28/2014,338.29
AMZN,04/04/2014,322.79
AMZN,04/11/2014,311.73
AMZN,04/18/2014,324.91
AMZN,04/25/2014,303.6
AMZN,05/02/2014,308.0
AMZN,05/09/2014,292.16
AMZN,05/16/2014,297.7
AMZN,05/23/2014,312.14
AMZN,05/30/2014,312.43
AMZN,06/06/2014,329.67
AMZN,06/13/2014,326.27
AMZN,06/20/2014,324.03
AMZN,06/27/2014,324.56
AMZN,07/04/2014,337.492
AMZN,07/11/2014,346.19
AMZN,07/18/2014,358.66
AMZN,07/25/2014,324.0
AMZN,08/01/2014,307.0
AMZN,08/08/2014,316.8
AMZN,08/15/2014,333.62
AMZN,08/22/2014,331.59
AMZN,08/29/2014,339.03
AMZN,09/05/2014,346.39
AMZN,09/12/2014,331.2
AMZN,09/19/2014,331.32
AMZN,09/26/2014,323.18
AMZN,10/03/2014,322.68
AMZN,10/10/2014,311.4
AMZN,10/17/2014,303.63
AMZN,10/24/2014,287.0
AMZN,10/31/2014,305.46
AMZN,11/07/2014,299.86
AMZN,11/14/2014,327.83
AMZN,11/21/2014,332.55
AMZN,11/28/2014,338.64
AMZN,12/05/2014,312.61
AMZN,12/12/2014,307.56
AMZN,12/19/2014,299.9
AMZN,12/26/2014,309.09
AMZN,01/02/2015,308.52
AMZN,01/09/2015,296.92
AMZN,01/16/2015,290.7
AMZN,01/23/2015,312.42
AMZN,01/30/2015,354.55
AMZN,02/06/2015,374.33
AMZN,02/13/2015,381.86
AMZN,02/20/2015,383.61
AMZN,02/27/2015,380.26
AMZN,03/06/2015,380.09
AMZN,03/13/2015,370.53
AMZN,03/20/2015,378.53
AMZN,03/27/2015,370.74
AMZN,04/03/2015,372.25
AMZN,04/10/2015,382.64
AMZN,04/17/2015,375.52
AMZN,04/24/2015,445.17
AMZN,05/01/2015,422.87
AMZN,05/08/2015,433.67
AMZN,05/15/2015,425.92
AMZN,05/22/2015,427.71
AMZN,05/29/2015,429.22
AMZN,06/05/2015,426.94
AMZN,06/12/2015,429.92
AMZN,06/19/2015,434.58
AMZN,06/26/2015,438.21
AMZN,07/03/2015,437.66
AMZN,07/10/2015,443.51
AMZN,07/17/2015,482.85
AMZN,07/24/2015,529.43
AMZN,07/31/2015,536.13
AMZN,08/07/2015,522.89
AMZN,08/14/2015,531.52
AMZN,08/21/2015,494.7232
AMZN,08/28/2015,518.0
AMZN,09/04/2015,498.64
AMZN,09/11/2015,529.43
AMZN,09/18/2015,540.59
AMZN,09/25/2015,524.25
AMZN,10/02/2015,532.54
AMZN,10/09/2015,539.7
AMZN,10/16/2015,570.76
AMZN,10/23/2015,599.26
AMZN,10/30/2015,625.89
AMZN,11/06/2015,659.18
AMZN,11/13/2015,642.35
AMZN,11/20/2015,668.45
AMZN,11/27/2015,673.26
AMZN,12/04/2015,672.63
AMZN,12/11/2015,640.06
AMZN,12/18/2015,664.13
AMZN,12/25/2015,662.79
AMZN,01/01/2016,676.34
AMZN,01/08/2016,607.05
AMZN,01/15/2016,570.0
AMZN,01/22/2016,596.21
AMZN,01/29/2016,585.37
AMZN,02/05/2016,502.01
AMZN,02/12/2016,506.95
AMZN,02/19/2016,534.88
AMZN,02/26/2016,555.17
AMZN,03/04/2016,575.14
AMZN,03/11/2016,569.59
AMZN,03/18/2016,552.11
AMZN,03/25/2016,582.95
AMZN,04/01/2016,598.5
AMZN,04/08/2016,594.6
AMZN,04/15/2016,625.98
AMZN,04/22/2016,620.51
AMZN,04/29/2016,659.59
AMZN,05/06/2016,673.95
AMZN,05/13/2016,709.92
AMZN,05/20/2016,702.77
AMZN,05/27/2016,712.13
AMZN,06/03/2016,725.54
AMZN,06/10/2016,718.02
AMZN,06/17/2016,706.36
AMZN,06/24/2016,699.0
AMZN,07/01/2016,725.63
AMZN,07/08/2016,745.82
AMZN,07/15/2016,735.43
AMZN,07/22/2016,744.86
AMZN,07/29/2016,759.02
AMZN,08/05/2016,765.86
AMZN,08/12/2016,772.56
AMZN,08/19/2016,757.11
AMZN,08/26/2016,769.04
AMZN,09/02/2016,772.45
AMZN,09/09/2016,760.19
AMZN,09/16/2016,778.47
AMZN,09/23/2016,805.75
AMZN,09/30/2016,837.35
AMZN,10/07/2016,839.41
AMZN,10/14/2016,823.0
AMZN,10/21/2016,819.0
AMZN,10/28/2016,776.32
AMZN,11/04/2016,755.12
AMZN,11/11/2016,739.01
AMZN,11/18/2016,760.17
AMZN,11/25/2016,780.37
AMZN,12/02/2016,740.34
AMZN,12/09/2016,768.65
AMZN,12/16/2016,757.75
AMZN,12/23/2016,760.58
AMZN,12/30/2016,750.03
AMZN,01/06/2017,795.99
AMZN,01/13/2017,817.13
AMZN,01/20/2017,808.23
AMZN,01/27/2017,835.77
AMZN,02/03/2017,810.07
AMZN,02/10/2017,827.48
AMZN,02/17/2017,845.06
AMZN,02/24/2017,845.23
AMZN,03/03/2017,849.85
AMZN,03/10/2017,852.2
AMZN,03/17/2017,852.31
AMZN,03/24/2017,845.6
AMZN,03/31/2017,886.54
AMZN,04/07/2017,894.88
AMZN,04/14/2017,884.67
AMZN,04/21/2017,898.53
AMZN,04/28/2017,925.0
AMZN,05/05/2017,934.15
AMZN,05/12/2017,961.35
AMZN,05/19/2017,960.0
AMZN,05/26/2017,995.78
AMZN,06/02/2017,1006.78
AMZN,06/09/2017,976.77
AMZN,06/16/2017,987.61
AMZN,06/23/2017,1003.74
AMZN,06/30/2017,968.0
AMZN,07/07/2017,978.66
AMZN,07/14/2017,1001.9
AMZN,07/21/2017,1024.93
AMZN,07/28/2017,1020.01
AMZN,08/04/2017,987.41
AMZN,08/11/2017,968.2
AMZN,08/18/2017,958.61
AMZN,08/25/2017,945.27
AMZN,09/01/2017,978.41
AMZN,09/08/2017,965.9
AMZN,09/15/2017,986.95
AMZN,09/22/2017,954.63
AMZN,09/29/2017,960.49
AMZN,10/06/2017,989.51
AMZN,10/13/2017,1003.44
AMZN,10/20/2017,982.9
AMZN,10/27/2017,1100.99
AMZN,11/03/2017,1111.59
AMZN,11/10/2017,1125.35
AMZN,11/17/2017,1129.87
AMZN,11/24/2017,1186.0
AMZN,12/01/2017,1161.83
AMZN,12/08/2017,1162.0
AMZN,12/15/2017,1178.98
AMZN,12/22/2017,1168.33
AMZN,12/29/2017,1169.46
AMZN,01/05/2018,1229.07
AMZN,01/12/2018,1305.0
AMZN,01/19/2018,1294.184
AMZN,01/26/2018,1401.19
AMZN,02/02/2018,1429.87
AMZN,02/09/2018,1339.34
AMZN,02/16/2018,1448.4376
AMZN,02/23/2018,1500.0
AMZN,03/02/2018,1500.21
AMZN,03/09/2018,1578.94
AMZN,03/16/2018,1571.69
AMZN,03/23/2018,1495.55
AMZN,03/30/2018,1445.96
AMZN,04/06/2018,1405.17
AMZN,04/13/2018,1435.76
AMZN,04/20/2018,1527.22
AMZN,04/27/2018,1571.545
AMZN,05/04/2018,1580.99
